	Q1
大赦国际	Q5256
大跃进和人民公社	Q5257
大跃进（大跃进）	Q5258
大迁徙（人口大迁徙）	Q5259
大运河（古代修筑的人工运河）	Q5260
大连京剧院	Q5261
大连民族大学	Q5262
大连海事大学	Q5263
大连港	Q5264
大连理工大学	Q5265
大连路（上海市公路）	Q5266
大连（辽宁省省辖市）	Q5267
大连（辽宁省辖市）	Q5268
大都回回药物院	Q5269
大量生产	Q5270
大金山岛	Q5271
大长山岛	Q5272
大阪	Q5273
大陆岛	Q5274
大陆性季风气候	Q5275
大陆报	Q5276
大陆法系	Q5277
大陈岛	Q5278
大隈重信	Q5279
大雅·公刘	Q5280
大饼（中国面食）	Q5281
大鹿岛（辽宁省丹东市东港市大鹿岛）	Q5282
大麦（农作物）	Q5283
大麻纤维	Q5284
大黄鱼（鱼类的一种）	Q5285
大鼓（打击乐器）	Q5286
天下四聚	Q5287
天主教	Q5288
天主教堂	Q5289
天主教开封总教区	Q5290
天主教礼仪	Q5291
天书奇谭（1983年上海美术电影制片厂制作的动画）	Q5292
天人合一（中国哲学思想）	Q5293
天体化学	Q5294
天体测量学	Q5295
天体物理学（学科名）	Q5296
天体生物学	Q5297
天兴府	Q5298
天历之变	Q5299
天可汗	Q5300
天启宗教	Q5301
天圆地方	Q5302
天地之中历史建筑群	Q5303
天坛公园（北京—明清天坛公园）	Q5304
天天有喜（2013年穆婷婷主演电视剧）	Q5305
天子（川渝中烟工业公司品牌之一）	Q5306
天宁寺（江苏省常州市天宁寺）	Q5307
天安门国旗护卫队	Q5308
天安门地区管理委员会	Q5309
天安门广场	Q5310
天安门（北京故宫城门、中国国家象征）	Q5311
天官书	Q5312
天宫一号	Q5313
天宫二号	Q5314
天宫二号空间实验室	Q5315
天山	Q5316
天师道	Q5317
天文单位	Q5318
天文历法	Q5319
天文学	Q5320
天文摄影	Q5321
天文物理学	Q5322
天文现象	Q5323
天文研究	Q5324
天文航海	Q5325
天文观测	Q5326
天文钟	Q5327
天星桥	Q5328
天柱县	Q5329
天柱山（安徽省安庆市潜山县山地、景区）	Q5330
天梯山	Q5331
天气分析	Q5332
天气现象	Q5333
天气雷达	Q5334
天气预报（最新天气状况的预测）	Q5335
天气（自然现象）	Q5336
天水	Q5337
天水呱呱	Q5338
天水麦积山石窟	Q5339
天河二号超级计算机	Q5340
天津中医药大学	Q5341
天津日报	Q5342
天津条约	Q5343
天津港	Q5344
天津航空	Q5345
天津英华国际学校	Q5346
天津（中华人民共和国直辖市）	Q5347
天涯歌女（2008年张柏芝主演电视剧）	Q5348
天涯织女	Q5349
天演论（学术论著）	Q5350
天然公园	Q5351
天然气水合物	Q5352
天然气（气体）	Q5353
天然海贝	Q5354
天王星行动	Q5355
天王星（太阳系八大行星之一）	Q5356
天祐元年	Q5357
天祝藏族自治县	Q5358
天竺（古印度）	Q5359
天舟一号货运飞船	Q5360
天草	Q5361
天赋观念	Q5362
天长	Q5363
天际线（天地相连的交界线）	Q5364
天露山	Q5365
天顺（明英宗年号）	Q5366
天马山（上海市天马山）	Q5367
天麻（草药）	Q5368
太一道	Q5369
太丁（商汤之子）	Q5370
太上皇（禅位皇帝头衔）	Q5371
太上老君（道教始祖）	Q5372
太仓（江苏省苏州市下辖县级市）	Q5373
太公望（日本漫画《仙界传封神演义》主人公）	Q5374
太医令	Q5375
太医局	Q5376
太医署	Q5377
太医院	Q5378
太原（山西省省会）	Q5379
太史公自序	Q5380
太多（陈冠蒲演唱歌曲）	Q5381
太姥山	Q5382
太子河	Q5383
太子（漫画《古惑仔》人物）	Q5384
太尉（中国秦代至元代官职）	Q5385
太平军	Q5386
太平圣惠方（太平圣惠方）	Q5387
太平天国运动	Q5388
太平天国（中国历史政权）	Q5389
太平岛	Q5390
太平府	Q5391
太平洋	Q5392
太平洋岛屿	Q5393
太平洋战争（第二次世界大战亚洲太平洋战场）	Q5394
太平洋战场（太平洋地区发生的大规模海战）	Q5395
太平轮	Q5396
太平道	Q5397
太庚	Q5398
太康县	Q5399
太康失国	Q5400
太戊	Q5401
太昊	Q5402
太极拳（中国武术中的拳法）	Q5403
太武	Q5404
太湖流域	Q5405
太甲	Q5406
太空旅客	Q5407
太空望远镜	Q5408
太空计划	Q5409
太空（地球大气层以外的宇宙空间）	Q5410
太行山脉	Q5411
太阳周期	Q5412
太阳病	Q5413
太阳系	Q5414
太阳系外行星	Q5415
太阳系行星	Q5416
太阳能	Q5417
太阳能发电	Q5418
太阳能电池	Q5419
太阳质量	Q5420
太阳辐射	Q5421
太阳风（物理，天文名词）	Q5422
太阳黑子（上海文艺出版社出版小说）	Q5423
太阳黑子（自然现象）	Q5424
太阳（太阳系的中心天体）	Q5425
太鲁阁族	Q5426
夫差（春秋时期吴国君主）	Q5427
失业率	Q5428
失信被执行人	Q5429
失读症	Q5430
头七（汉语）	Q5431
头山满	Q5432
头痛	Q5433
夷陵之战	Q5434
夷陵长江大桥	Q5435
夸克（物理名词）	Q5436
夺帅	Q5437
夺门之变	Q5438
奇峰	Q5439
奇性定理	Q5440
奇点（数学中的概念）	Q5441
奇瑞	Q5442
奇虎360	Q5443
奇诺	Q5444
奉天省	Q5445
奉系军阀	Q5446
奉贤区	Q5447
契丹族	Q5448
契约华工	Q5449
契约法	Q5450
契约自由	Q5451
契（商族始祖）	Q5452
奢侈的	Q5453
奥兰多·布鲁姆	Q5454
奥兰（阿尔及利亚第二大城市）	Q5455
奥利-约翰·达尔	Q5456
奥匈帝国	Q5457
奥卡姆的威廉	Q5458
奥古斯丁（古罗马帝国时期天主教思想家）	Q5459
奥古斯特·孔德	Q5460
奥地利	Q5461
奥地利经济学派	Q5462
奥妙（著名家化品牌）	Q5463
奥尔巴尼（美国纽约州首府）	Q5464
奥尔森（美国经济学家和社会学家）	Q5465
奥尔特云	Q5466
奥尔胡斯大学	Q5467
奥尔（德国足球运动员）	Q5468
奥德河	Q5469
奥托（德国发明家）	Q5470
奥拉夫五世	Q5471
奥斯曼帝国（1299—1922年地跨欧亚非的帝国）	Q5472
奥斯曼（奥斯曼帝国国王）	Q5473
奥斯陆	Q5474
奥斯陆大学	Q5475
奥林匹克竞赛	Q5476
奥林匹克运动会	Q5477
奥格登	Q5478
奥汀（君子以泽《奥汀的祝福》男主角）	Q5479
奥特朗托海峡	Q5480
奥特（英格兰足球运动员）	Q5481
奥维德	Q5482
奥美拉唑	Q5483
奥肯定律	Q5484
奥运会奖牌	Q5485
女书	Q5486
女仆（职业的一种）	Q5487
女同性恋	Q5488
女大学生（名词）	Q5489
女娲造人	Q5490
女娲（《仙剑奇侠传》中的世初三皇）	Q5491
女娲（中华上古正神）	Q5492
女子学校	Q5493
女子相扑	Q5494
女子足球	Q5495
女性主义	Q5496
女性参政	Q5497
女性心理需求	Q5498
女性文学	Q5499
女性（雌性人类）	Q5500
女歌手（意大利画家贝尔纳多·卡瓦利诺画作）	Q5501
女皇帝	Q5502
女真族	Q5503
女装	Q5504
奴儿干都指挥使司	Q5505
奴隶占有制	Q5506
奶茶（牛奶和红茶的混合饮品）	Q5507
她的歌声	Q5508
好奇（母婴用品品牌）	Q5509
好朋友（郭德纲搭档于谦相声）	Q5510
好猫（好猫牌香烟）	Q5511
好莱坞（1923年美国电影）	Q5512
如意金箍棒（《西游记》中孙悟空的兵器）	Q5513
如果没有你（莫文蔚演唱的歌曲）	Q5514
如果爱（湖北卫视明星恋爱真人秀）	Q5515
妇女（成年女子的统称）	Q5516
妈勒访天边	Q5517
妈祖信仰	Q5518
妈祖（以中国东南沿海为中心信仰的海神）	Q5519
妊娠期	Q5520
妓女	Q5521
妖后	Q5522
妮基·瑞德	Q5523
妹控	Q5524
始元（汉昭帝刘弗陵年号）	Q5525
始太古代	Q5526
姑溪河	Q5527
姒中康	Q5528
姒孔甲	Q5529
姒少康	Q5530
委内瑞拉社会主义统一党	Q5531
委内瑞拉（委内瑞拉玻利瓦尔共和国）	Q5532
姚崇（唐朝政治家）	Q5533
姚成龙	Q5534
姚文元	Q5535
姚明（中国篮球协会主席、中职联公司董事长）	Q5536
姚期智	Q5537
姚桐斌	Q5538
姚沁蕾	Q5539
姚锦（编辑）	Q5540
姜姓	Q5541
姜登选	Q5542
姬奭	Q5543
姬宜臼（周平王）	Q5544
姬宫湦（西周第十二任君主）	Q5545
姬林	Q5546
姬瑕	Q5547
姬胡	Q5548
姬诵	Q5549
姬静	Q5550
威尔士	Q5551
威尔斯大学	Q5552
威廉·冯特	Q5553
威廉·哈维	Q5554
威廉·杰斐逊·克林顿	Q5555
威廉·琼斯杯国际篮球邀请赛	Q5556
威廉·罗便臣	Q5557
威廉·詹姆斯	Q5558
威廉·赫歇尔	Q5559
威廉姆·斯坦利·杰文斯	Q5560
威斯康星州	Q5561
威权主义	Q5562
威海新北洋数码科技股份有限公司	Q5563
威理博·斯涅尔	Q5564
娄山关	Q5565
娄昭君	Q5566
娱乐场所	Q5567
娱乐节目	Q5568
娼优	Q5569
娼妓（意义）	Q5570
婆罗摩笈多	Q5571
婉娜拉·宋提查	Q5572
婕妤	Q5573
婚外情事	Q5574
婚姻自由	Q5575
婴儿孤独症	Q5576
婴儿死亡率	Q5577
婴儿潮	Q5578
婴儿（小于1周岁的儿童）	Q5579
婺源县	Q5580
媒介	Q5581
媒体播放器	Q5582
嫦娥三号探测器	Q5583
嫦娥二号卫星	Q5584
嫦娥四号探测器	Q5585
子产	Q5586
子公司	Q5587
子午圈	Q5588
子域	Q5589
子夜（茅盾创作长篇小说）	Q5590
子婴	Q5591
子宫（产生月经和孕育胎儿的器官）	Q5592
子程序	Q5593
子系统	Q5594
子羔	Q5595
孔原（原中华人民共和国海关总署署长）	Q5596
孔子（1990年电视剧）	Q5597
孔子（儒家学派创始人）	Q5598
孔孟之道	Q5599
孔德（法国哲学家）	Q5600
孔教会	Q5601
孔有德（明末清初将领）	Q5602
孔祥东（钢琴艺术家）	Q5603
孔祥熙	Q5604
孔门十哲	Q5605
孔雀东南飞（汉乐府诗）	Q5606
孔雀王朝（安全技术论坛）	Q5607
孔颖达	Q5608
孔鲋	Q5609
孕妇	Q5610
字母	Q5611
字符串	Q5612
字节码	Q5613
存储器	Q5614
存在主义	Q5615
存在主义心理学	Q5616
存在就是被感知	Q5617
存在心理治疗	Q5618
孙不二	Q5619
孙中山先生	Q5620
孙中山全集	Q5621
孙中山基金会	Q5622
孙中山（2001年沈好放执导电视剧）	Q5623
孙中山（中国近代伟大的民主革命先行者）	Q5624
孙俪	Q5625
孙力（青海省通信管理局党组书记、局长）	Q5626
孙君（北京绿十字生态文化传播中心创始人）	Q5627
孙君（南京邮电大学信息与通信工程学院）	Q5628
孙吴（三国时期政权）	Q5629
孙和（吴大帝第三子）	Q5630
孙复	Q5631
孙大为（文物鉴定人）	Q5632
孙大文（爱尔兰皇家科学院院士）	Q5633
孙夫人（东汉末年刘备夫人）	Q5634
孙奉	Q5635
孙娫	Q5636
孙婉	Q5637
孙子兵法（中国古典军事文化著作）	Q5638
孙学成（华中农业大学资源与环境学院副教授）	Q5639
孙宝琦	Q5640
孙岳（京剧老生演员）	Q5641
孙岳（民国将领、直隶省长）	Q5642
孙师毅	Q5643
孙思邈（药王）	Q5644
孙恩（东晋五斗米道道士和起义军首领）	Q5645
孙悟空（中国古典名著《西游记》中的主角）	Q5646
孙成（唐朝桂州刺史）	Q5647
孙承宗	Q5648
孙敬（东汉人物）	Q5649
孙文学说	Q5650
孙文越飞联合宣言	Q5651
孙方	Q5652
孙未	Q5653
孙权（三国时代孙吴开国皇帝）	Q5654
孙武（中国春秋时期军事家）	Q5655
孙氏祠堂	Q5656
孙瑞英（清代女画家）	Q5657
孙眉	Q5658
孙秋绮	Q5659
孙科（民国时期著名政治人物）	Q5660
孙程	Q5661
孙穗芳	Q5662
孙策（东汉末年割据江东一带的诸侯）	Q5663
孙膑兵法	Q5664
孙膑（战国时期齐国军事家）	Q5665
孙越（著名相声演员）	Q5666
孙达成	Q5667
孙铭武	Q5668
孙雯（女足巨星）	Q5669
孛儿只斤·也孙铁木儿	Q5670
孛儿只斤·和世㻋	Q5671
孛儿只斤·图帖睦尔	Q5672
孛儿只斤·妥懽帖睦尔	Q5673
孛儿只斤·察合台	Q5674
孛儿只斤·忽必烈	Q5675
孛儿只斤·懿璘质班	Q5676
孛儿只斤·海山	Q5677
孛儿只斤·海都	Q5678
孛儿只斤·爱育黎拔力八达	Q5679
孛儿只斤·硕德八剌	Q5680
孛儿只斤·窝阔台	Q5681
孛儿只斤·答剌麻八剌	Q5682
孛儿只斤·蒙哥	Q5683
孛儿只斤·铁穆耳	Q5684
孛儿只斤·阿速吉八	Q5685
孛儿只斤·阿里不哥	Q5686
孝感	Q5687
孟加拉国	Q5688
孟加拉国共产党	Q5689
孟子（儒家代表人物之一）	Q5690
孟子（儒家经典著作）	Q5691
孟学农	Q5692
孟广征	Q5693
孟村回族自治县	Q5694
季梁	Q5695
季羡林	Q5696
季风（地理气象学概念）	Q5697
孤岛时期	Q5698
孤立国同农业和国民经济的关系	Q5699
孤立系统	Q5700
学习兴趣	Q5701
学习方法（学习方法之“心态”章）	Q5702
学习日语	Q5703
学习时报	Q5704
学习障碍	Q5705
学位论文	Q5706
学位课程	Q5707
学前教育	Q5708
学号	Q5709
学士学位	Q5710
学政	Q5711
学术期刊	Q5712
学术流派	Q5713
学术界（国内大型学术期刊）	Q5714
学术研讨会	Q5715
学术腐败	Q5716
学派	Q5717
学生会	Q5718
学生运动	Q5719
学科（词语概念）	Q5720
学者（名词解析）	Q5721
学问（社科综合类期刊）	Q5722
学龄儿童	Q5723
孪生质数	Q5724
宁国	Q5725
宁夏（宁夏回族自治区）	Q5726
宁安高速铁路	Q5727
宁德	Q5728
宁波城市职业技术学院	Q5729
宁波杭州湾新区	Q5730
宁波舟山港	Q5731
宁波（浙江省城市）	Q5732
宁波（浙江省省辖市）	Q5733
宁洛高速公路	Q5734
宁淮	Q5735
宁王	Q5736
宁芜高速公路	Q5737
宁西铁路	Q5738
宁财神	Q5739
宁远之战	Q5740
宁都会议	Q5741
宁锦之战	Q5742
宅兹中国（历史概念）	Q5743
宇宙化学	Q5744
宇宙大尺度结构	Q5745
宇宙学家	Q5746
宇宙射线	Q5747
宇宙微波背景	Q5748
宇宙星体	Q5749
宇宙暴涨理论	Q5750
宇宙背景辐射	Q5751
宇宙论	Q5752
宇宙（天文学名词）	Q5753
宇文姓	Q5754
宇文泰	Q5755
宇文邕（北周武帝）	Q5756
宇文阐	Q5757
宇航员（宇航员职业）	Q5758
守恒量	Q5759
安东尼奥·德奥利维拉·萨拉查	Q5760
安东省	Q5761
安东都护府	Q5762
安东（原国防科学技术委员会副主任、少将）	Q5763
安东（辽宁省丹东市的旧称）	Q5764
安以轩	Q5765
安全标准	Q5766
安全漏洞	Q5767
安内攘外（张学良将军对抗战的主张）	Q5768
安史之乱	Q5769
安史之乱（战争）	Q5770
安国军政府	Q5771
安国县	Q5772
安国（河北省保定市下辖市）	Q5773
安多县	Q5774
安姓	Q5775
安娜·弗洛伊德	Q5776
安市城（赵寅成出演的影片）	Q5777
安平桥	Q5778
安庆天柱山机场	Q5779
安庆府	Q5780
安庆港	Q5781
安庆起义	Q5782
安庆（安徽省地级市）	Q5783
安德烈·塔可夫斯基	Q5784
安德烈·巴赞	Q5785
安德烈·舍甫琴科	Q5786
安德鲁·怀尔斯	Q5787
安德鲁·斯图尔特·塔能鲍姆	Q5788
安德鲁（英国家族制中小型跨国企业）	Q5789
安徽	Q5790
安徽大学	Q5791
安徽巡抚	Q5792
安徽工程大学	Q5793
安徽师范大学	Q5794
安徽神学院	Q5795
安徽端公戏	Q5796
安息日	Q5797
安悦溪	Q5798
安慰剂	Q5799
安托万-洛朗·拉瓦锡	Q5800
安提基特拉机械	Q5801
安澜桥（都江堰桥）	Q5802
安特卫普（比利时西北部城市）	Q5803
安特生	Q5804
安瑟伦	Q5805
安禄山（唐朝历史人物）	Q5806
安纳托利亚	Q5807
安舜（高句丽报德王）	Q5808
安西都护府（唐朝时期新疆地区的管辖机构）	Q5809
安诺文化	Q5810
安达卢西亚（西班牙安达卢西亚自治区）	Q5811
安迪·博加德	Q5812
安迪·哈格	Q5813
安迪·赫兹菲尔德	Q5814
安阳（河南省地级市）	Q5815
安陆府	Q5816
安顺学院	Q5817
安顺黄果树机场	Q5818
安顺（贵州省地级市）	Q5819
宋代书院	Q5820
宋代理学	Q5821
宋会要辑稿	Q5822
宋元时期	Q5823
宋军（著名美术设计师）	Q5824
宋哲元	Q5825
宋嘉树	Q5826
宋国（周朝诸侯国）	Q5827
宋子文	Q5828
宋庆龄	Q5829
宋慈	Q5830
宋教仁（中华民国时期革命家）	Q5831
宋明理学（儒家哲学思想体系的分支）	Q5832
宋明（辽沈一校教务主任）	Q5833
宋朝经济	Q5834
宋朝（中国历史朝代）	Q5835
宋朝（春秋时期宋国公子）	Q5836
宋楚瑜	Q5837
宋璟	Q5838
宋美龄	Q5839
宋耀如（辛亥革命时期革命家）	Q5840
宋襄公	Q5841
宋词（中国文学）	Q5842
宋金刚	Q5843
宋霭龄	Q5844
完全垄断市场	Q5845
完全平方数	Q5846
完全数	Q5847
完全竞争	Q5848
完整授权	Q5849
完颜乌古乃	Q5850
完颜亮	Q5851
完颜承麟	Q5852
完颜撒改	Q5853
完颜盈歌	Q5854
完颜阿骨打	Q5855
宏内核	Q5856
宏村镇（安徽省黟县下辖镇）	Q5857
宏碁	Q5858
宏观经济	Q5859
宏观经济学（经济学流派）	Q5860
宏观调控	Q5861
宏达国际电子股份有限公司	Q5862
宗主国	Q5863
宗吉	Q5864
宗周（西周王都）	Q5865
宗教事务条例	Q5866
宗教信仰	Q5867
宗教团体	Q5868
宗教学家	Q5869
宗教学（现代社会科学门类）	Q5870
宗教建筑	Q5871
宗教改革	Q5872
宗教的本质	Q5873
宗教自由	Q5874
宗教音乐	Q5875
宗教（意识形态）	Q5876
宗法制度	Q5877
官僚主义	Q5878
官僚制度	Q5879
官僚制（国家行政管理相关制度）	Q5880
官僚机构	Q5881
官场（刘震云所著中篇小说）	Q5882
官塘镇（广东省潮州市湘桥区下辖镇）	Q5883
官学（中国古代最主要的官学教育制度）	Q5884
官府菜	Q5885
官方语言	Q5886
官本位	Q5887
官渡之战	Q5888
定义	Q5889
定位（品牌营销名词）	Q5890
定安县（海南省直辖县）	Q5891
定州	Q5892
定律（理论规律）	Q5893
定性	Q5894
定性分析	Q5895
定性研究	Q5896
定瓷	Q5897
定窑	Q5898
定量研究	Q5899
定陶区	Q5900
宜万铁路	Q5901
宜万铁路宜昌长江大桥	Q5902
宜兰县	Q5903
宜昌三峡机场	Q5904
宜昌府	Q5905
宜昌长江公路大桥	Q5906
宜昌（湖北省地级市）	Q5907
宝丽多唱片	Q5908
宝丽金	Q5909
宝丽金唱片	Q5910
宝兰客运专线	Q5911
宝安区	Q5912
宝安县	Q5913
宝山区（中国上海市宝山区）	Q5914
宝昌镇	Q5915
宝林寺（江苏常州寺庙）	Q5916
宝莲灯（2005年曹骏、舒畅、焦恩俊主演电视剧）	Q5917
宝钞	Q5918
宝鸡（陕西省地级市）	Q5919
实业计划	Q5920
实体法	Q5921
实分析	Q5922
实变函数（数学学科术语）	Q5923
实数域	Q5924
实时调度	Q5925
实用主义（现代哲学派别）	Q5926
实证主义	Q5927
实证主义思潮	Q5928
实证主义社会学	Q5929
实证经济学	Q5930
实践是检验真理的唯一标准	Q5931
实际利用外资	Q5932
实际成本	Q5933
实验室（进行试验的场所）	Q5934
实验心理学（心理学学科分支）	Q5935
实验法	Q5936
实验物理	Q5937
实验组	Q5938
实验经济学	Q5939
实验设计（心理学解释）	Q5940
审查制度	Q5941
审查起诉	Q5942
审理案件	Q5943
审美价值	Q5944
